d.kode_rs,d.nama_rs,d.nama_prop,d.kelas,d.pemilik,d.akreditasi
5105016,RS Pratama Gema Santi,BALI,D PRATAMA,Pemkab,Tingkat Dasar
1674003,RS Siloam Silampari,SUMATERA SELATAN,C,SWASTA/ LAINNYA,Tingkat Utama
1275924,RS Umum Gran Theresia Herna,SUMATERA UTARA,D,SWASTA/ LAINNYA,Lulus Perdana
1273107,RS Mata Siantar,SUMATERA UTARA,C,SWASTA/ LAINNYA,Lulus Perdana
3171802,RS Khusus Bedah Halimun,DKI JAKARTA,C,Perusahaan,Lulus Perdana
3525101,RS Umar Masud,JAWA TIMUR,D,Pemkab,Tingkat Madya
3173707,RS Gigi Dan Mulut YARSI,DKI JAKARTA,B,SWASTA/ LAINNYA,Tingkat Paripurna
1275923,RS Umum Mitra Medika Amplas,SUMATERA UTARA,C,SWASTA/ LAINNYA,Tingkat Paripurna
5103038,RS Bali Jimbaran,BALI,C,Perusahaan,Lulus Perdana
1277027,RS Metta Medika,SUMATERA UTARA,D,Perusahaan,Lulus Perdana
3507112,RSK Geriatri Teja Husada,JAWA TIMUR,Belum Ditetapkan,Perusahaan,Tingkat Madya
1376017,RS Ibu dan Anak Annisa Payakumbuh,SUMATERA BARAT,C,Perorangan,Lulus Perdana
3603190,RS Ibu dan Anak Ilanur,BANTEN,C,SWASTA/ LAINNYA,Tingkat Dasar
3275063,RS Awal Bros Bekasi Timur,JAWA BARAT,B,Perusahaan,Tingkat Paripurna
7171104,RS Mata Provinsi Sulawesi Utara,SULAWESI UTARA,C,Pemprop,Lulus Perdana
1211127,RS Ibu dan Anak Mina Husada,SUMATERA UTARA,C,SWASTA/ LAINNYA,Tingkat Dasar
1275922,RS Khusus Mata Provinsi Sumatera Utara,SUMATERA UTARA,B,Pemprop,Tingkat Dasar
5271101,RS Universitas Mataram,NUSA TENGGARA BARAT,C,SWASTA/ LAINNYA,Tingkat Paripurna
3207057,RSU Dadi Keluarga Ciamis,JAWA BARAT,C,SWASTA/ LAINNYA,Tingkat Utama
3471380,RS Siloam Yogyakarta,D I YOGYAKARTA,C,Perusahaan,Tingkat Paripurna
5171220,RS Umum Daerah Bali Mandara Provinsi Bali,BALI,B,Pemprop,Tingkat Paripurna
3213048,RS Umum Kharisma,JAWA BARAT,D,SWASTA/ LAINNYA,Tingkat Dasar
1671347,RS Umum Daerah Siti Fatimah Provinsi Sumatera Sela,SUMATERA SELATAN,B,Pemprop,Tingkat Paripurna
1212181,RS Umum Mitra Medika,SUMATERA UTARA,C,SWASTA/ LAINNYA,Tingkat Paripurna
3309132,RS Umum Natalia,JAWA TENGAH,D,SWASTA/ LAINNYA,Lulus Perdana
3528028,RS Umum Daerah Waru Pamekasan,JAWA TIMUR,D,Pemkab,Tingkat Madya
3671223,RS Karang Tengah Medika,BANTEN,C,SWASTA/ LAINNYA,Tingkat Utama
1274063,RS Chevani,SUMATERA UTARA,C,Perusahaan,Lulus Perdana
1209081,RS Umum Karya Husada,SUMATERA UTARA,D,SWASTA/ LAINNYA,Lulus Perdana
7371430,RS Ibu dan Anak Amanat,SULAWESI SELATAN,C,Perusahaan,Lulus Perdana
1571168,RS Mitra,JAMBI,C,SWASTA/ LAINNYA,Lulus Perdana
3216441,RS Umum Permata Keluarga Jababeka,JAWA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
3171801,RS Umum Daerah Kebayoran Baru,DKI JAKARTA,D,Pemprop,Lulus Perdana
3171800,RS Umum Daerah Jati Padang,DKI JAKARTA,D,Pemprop,Tingkat Paripurna
1701016,RS As-syifa,BENGKULU,D,SWASTA/ LAINNYA,Tingkat Madya
1904014,RS Siloam Bangka,KEPULAUAN BANGKA BELITUNG,C,Perusahaan,Tingkat Madya
3271166,RS Umum Bhayangkara Tk IV Bogor,JAWA BARAT,D,POLRI,Tingkat Madya
2171061,RS Bhayangkara Batam Polda Kepri,KEPULAUAN RIAU,D,POLRI,Tingkat Madya
3275062,RS Siloam Bekasi Timur,JAWA BARAT,C,SWASTA/ LAINNYA,Tingkat Paripurna
3175417,RS Mata Primasana,DKI JAKARTA,C,Perorangan,Tingkat Madya
3217007,RS Umum Daerah Cikalong Wetan,JAWA BARAT,D,Pemkab,Tingkat Utama
7371429,RS Ibu dan Anak Kartini ,SULAWESI SELATAN,C,SWASTA/ LAINNYA,Lulus Perdana
5108077,RS Umum Daerah Tangguwisia,BALI,D,Pemkab,Tingkat Madya
1376016,RS Ibu dan Anak Sukma Bunda,SUMATERA BARAT,C,Perusahaan,Lulus Perdana
3402081,Rumah Sakit Bedah Adelia,D I YOGYAKARTA,C,SWASTA/ LAINNYA,Tingkat Madya
5102049,RS Umum Semara Ratih,BALI,C,Perusahaan,Lulus Perdana
5102048,RS Umum Bali Holistik,BALI,D,SWASTA/ LAINNYA,Lulus Perdana
3514054,RS Sahabat,JAWA TIMUR,D,Perorangan,Lulus Perdana
3525100,RS Ibu dan Anak Amalia ,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Dasar
3674018,RS Pondok Indah Bintaro Jaya,BANTEN,B,SWASTA/ LAINNYA,Tingkat Paripurna
3201251,RS Umum Siloam Hospitals Bogor,JAWA BARAT,C,Perusahaan,Tingkat Paripurna
1174022,RS Umum Metro Medical Center,ACEH,C,SWASTA/ LAINNYA,Tingkat Dasar
1372013,RS Ibu dan Anak Permata Bunda Solok,SUMATERA BARAT,C,Perusahaan,Lulus Perdana
3201250,RS Ibu dan Anak Permata Pertiwi,JAWA BARAT,C,Perusahaan,Tingkat Dasar
3602012,RS Kartini,BANTEN,C,Perusahaan,Lulus Perdana
3524048,RS Bedah Citra Medika Lamongan,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
5101055,RS Umum Balimed Negara,BALI,C,SWASTA/ LAINNYA,Tingkat Madya
5102047,RS Nyitdah,BALI,C,Pemkab,Tingkat Dasar
7371428,RS Ibu dan Anak Paramount,SULAWESI SELATAN,B,Perusahaan,Tingkat Utama
3211027,RS Umum Harapan Keluarga,JAWA BARAT,D,Perusahaan,Lulus Perdana
6404051,RS Umum Daerah Sangkulirang,KALIMANTAN TIMUR,D,Pemkab,Tingkat Madya
3505043,RS Umum Medika Utama,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3276153,RSU Citra Arafiq,JAWA BARAT,Belum Ditetapkan,Perusahaan,Tingkat Dasar
3578795,RS Ibu dan Anak Ferina,JAWA TIMUR,C,Perusahaan,Tingkat Utama
3579004,RS Punten,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3603189,RS Ibu dan Anak Sepatan Mulia,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
1508002,RS Umum Setia Budi,JAMBI,D,Perusahaan,Lulus Perdana
3215167,RS Umum Amanda Mitra Keluarga,JAWA BARAT,D,Perusahaan,Tingkat Madya
3311229,RS Umum Indriati,JAWA TENGAH,C,SWASTA/ LAINNYA,Tingkat Paripurna
1371465,RS Ibu dan Anak Restu Ibu,SUMATERA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
3325039,RS Umum Daerah Limpung,JAWA TENGAH,D,Pemkab,Lulus Perdana
3212055,RS Umum Pertamina Balongan Indramayu,JAWA BARAT,D,BUMN,Lulus Perdana
1305017,RS Umum Harapan Ibunda,SUMATERA BARAT,D,SWASTA/ LAINNYA,Lulus Perdana
1371464,RS. Universitas Andalas,SUMATERA BARAT,C,Kementerian Lain,Tingkat Paripurna
6471086,RS Hermina Balikpapan,KALIMANTAN TIMUR,C,SWASTA/ LAINNYA,Tingkat Paripurna
1305016,RS Ibu dan Anak Fadhila Batusangkar,SUMATERA BARAT,C,Perusahaan,Lulus Perdana
3305120,RS Umum Daerah Prembun,JAWA TENGAH,C,Pemkab,Tingkat Utama
6372018,RS Umum Mawar ,KALIMANTAN SELATAN,D,Perusahaan,Lulus Perdana
3210037,RS Ibu dan Anak Mitra Plumbon Majalengka,JAWA BARAT,C,Perusahaan,Lulus Perdana
3504081,RS Umum Prima Medika,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Dasar
2071059,RS Umum Soedarsono Darmosoewito,KEPULAUAN RIAU,C,Organisasi Sosial,Lulus Perdana
3671222,RS Ibu dan Anak Makiyah,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
1377007,RS Umum Daerah Dr Sadikin Kota Pariaman,SUMATERA BARAT,D,Pemkot,Tingkat Madya
7371427,RS Gigi dan Mulut Ladokgi TNI AL Yos Sudarso,SULAWESI SELATAN,C,TNI AL,Tingkat Paripurna
3303101,RS Umum Siaga Medika Purbalingga ,JAWA TENGAH,C,SWASTA/ LAINNYA,Tingkat Paripurna
3573262,RS Universitas Brawijaya,JAWA TIMUR,C,Kementerian Lain,Tingkat Paripurna
3508058,RS Umum Daerah Pasirian Kabupaten Lumajang,JAWA TIMUR,D,Pemkab,Tingkat Utama
5201012,RS Umum Daerah Awet Muda Narmada,NUSA TENGGARA BARAT,D,Pemkab,Tingkat Dasar
6372017,RS Umum Syifa Medika,KALIMANTAN SELATAN,C,Perorangan,Lulus Perdana
1804015,RS Umum Permata Hati,LAMPUNG,C,SWASTA/ LAINNYA,Lulus Perdana
3201249,RS Umum Asysyifaa,JAWA BARAT,D,SWASTA/ LAINNYA,Lulus Perdana
1274062,RS Umum Universitas Prima Indonesia,SUMATERA UTARA,C,Organisasi Sosial,Lulus Perdana
3603188,RS Ibu dan Anak Bunda Sejati,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
7373007,RS Mega Buana Palopo,SULAWESI SELATAN,C,Perusahaan,Tingkat Utama
7317076,RS Hikmah Sejahtera Belopa ,SULAWESI SELATAN,C,Perusahaan,Lulus Perdana
3671221,RS Ibu dan Anak Pratiwi,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
3206084,RS Ibu dan Anak Respati,JAWA BARAT,C,Perusahaan,Tingkat Madya
3504078,RS Ibu dan Anak Trisna Medika,JAWA TIMUR,C,SWASTA/ LAINNYA,Tingkat Madya
3326051,RS Ibu dan Anak Aisyiyah Pekajangan Pekalongan,JAWA TENGAH,C,Organisasi Islam ,Tingkat Paripurna
1208059,RS Umum Bunda Mulia,SUMATERA UTARA,D,Perorangan,Lulus Perdana
3216438,RS Umum Pinna,JAWA BARAT,D,SWASTA/ LAINNYA,Lulus Perdana
1213059,RS Umum Putri Bidadari,SUMATERA UTARA,C,SWASTA/ LAINNYA,Tingkat Paripurna
3510106,RS Graha Medika Banyuwangi,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
7371425,RSU Cahaya Medika Makassar,SULAWESI SELATAN,D,SWASTA/ LAINNYA,Lulus Perdana
7174004,RS Ibu dan Anak Kasih Fatimah Kotamobagu,SULAWESI UTARA,C,SWASTA/ LAINNYA,Lulus Perdana
6105028,RS Umum Sentra Medika Sanggau,KALIMANTAN BARAT,D,Perusahaan,Tingkat Madya
3575016,RS Asih Abyakta,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3275060,RS Umum Satria Medika,JAWA BARAT,C,SWASTA/ LAINNYA,Tingkat Madya
1302012,RS Umum BKM,SUMATERA BARAT,D,Perusahaan,Lulus Perdana
1273106,RS Umum Tiara Kasih Sejati,SUMATERA UTARA,C,Perorangan,Lulus Perdana
3529029,RS Umum Sumekar,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
1371463,RS Khusus Bedah Kartika Docta,SUMATERA BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
5315003,RS Umum Daerah Komodo,NUSA TENGGARA TIMUR,D,Pemkab,Tingkat Dasar
1274061,RS Umum Natama,SUMATERA UTARA,D,Perusahaan,Lulus Perdana
1811002,RS Umum Daerah Ragab Begawe Caram,LAMPUNG,C,Pemkab,Tingkat Madya
1804014,RS Ibu dan Anak Ibunda,LAMPUNG,C,Organisasi Sosial,Tingkat Utama
7371426,RS Hermina Makassar,SULAWESI SELATAN,C,SWASTA/ LAINNYA,Tingkat Paripurna
6471085,RS Ibu Anak Asih  Balikpapan,KALIMANTAN TIMUR,C,Perusahaan,Lulus Perdana
1109031,RS Islam Ibnu Sina Sigli,ACEH,D,SWASTA/ LAINNYA,Lulus Perdana
6371155,RS Ibu dan Anak Annisa,KALIMANTAN SELATAN,C,SWASTA/ LAINNYA,Lulus Perdana
1804013,RS Ibu dan Anak Mawar,LAMPUNG,C,SWASTA/ LAINNYA,Lulus Perdana
6301016,RS Ibu dan Anak Ibunda,KALIMANTAN SELATAN,C,Perorangan,Tingkat Dasar
6303033,RS Umum Ciputra Mitra Hospital,KALIMANTAN SELATAN,B,Perusahaan,Tingkat Paripurna
3217006,RS Umum IMC,JAWA BARAT,D,Perusahaan,Tingkat Dasar
1275918,RS Khusus Ginjal Rasyida,SUMATERA UTARA,C,Perusahaan,Tingkat Utama
7308059,RS Umum Daerah Datu Pancaitana,SULAWESI SELATAN,C,Pemkab,Tingkat Utama
3671219,RS Ibu dan Anak Gebang Medika,BANTEN,C,Perusahaan,Lulus Perdana
1272033,RS Umum Hadi Husada,SUMATERA UTARA,D,Perusahaan,Lulus Perdana
7326002,RS Umum Daerah Pongtiku,SULAWESI SELATAN,D,Pemkab,Lulus Perdana
7271132,RS Samaritan Palu,SULAWESI TENGAH,C,Perorangan,Tingkat Utama
3671218,RS Ibu dan Anak PKU Muhammadiyah Cipondoh,BANTEN,C,Organisasi Islam ,Lulus Perdana
3510108,RS Al-Rohmah Banyuwangi,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Madya
3505041,RS Umum Al-Ittihad,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3516039,RS Umum Dian Husada,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
3578794,RS Ibu dan Anak Pusura Tegalsari,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
7373005,RS Mujaisyah,SULAWESI SELATAN,D,SWASTA/ LAINNYA,Lulus Perdana
1276076,RS Umum Ratu Mas,SUMATERA UTARA,C,Perusahaan,Lulus Perdana
3272075,RS Umum Daerah Al-Mulk,JAWA BARAT,D,Pemkot,Tingkat Utama
3525099,RS Umum Rachmi Dewi ,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
6172002,RS Ibu dan Anak Wempe Singkawang,KALIMANTAN BARAT,C,SWASTA/ LAINNYA,Lulus Perdana
6310018,RS Umum Marina Permata,KALIMANTAN SELATAN,C,SWASTA/ LAINNYA,Tingkat Madya
5104037,RS Umum Kasih Ibu Saba,BALI,C,Perusahaan,Lulus Perdana
3216435,RS Umum Tarumajaya,JAWA BARAT,D,SWASTA/ LAINNYA,Lulus Perdana
3201247,RS EMC Sentul,JAWA BARAT,B,Perusahaan,Tingkat Paripurna
3671217,RS Ibu dan Anak Karunia Bunda,BANTEN,C,Perusahaan,Lulus Perdana
3522064,RS Ibu dan Anak Fatma,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
3173706,RS Umum Hermina Kemayoran,DKI JAKARTA,B,SWASTA/ LAINNYA,Tingkat Paripurna
3578793,RS PKU Muhammadiyah Surabaya,JAWA TIMUR,D,Organisasi Islam ,Lulus Perdana
3203039,RS Umum Daerah Pagelaran,JAWA BARAT,D,Pemkab,Tingkat Madya
3273543,RS Umum Melinda 2,JAWA BARAT,C,SWASTA/ LAINNYA,Tingkat Utama
3573261,RS Ibu dan Anak Rumkitban 05.08.02 Malang,JAWA TIMUR,C,TNI AD,Lulus Perdana
1471396,RS Umum  Aulia Hospital,R I A U,C,Perusahaan,Tingkat Madya
3174527,RS Gigi dan Mulut FKG Universitas Trisakti,DKI JAKARTA,A,Perusahaan,Tingkat Paripurna
3318113,RS Umum As-Suyuthiyyah ,JAWA TENGAH,D,SWASTA/ LAINNYA,Tingkat Utama
3174525,RS Umum Daerah Taman Sari,DKI JAKARTA,D,Pemprop,Tingkat Madya
8271057,RS Prima Ternate,MALUKU UTARA,D,Organisasi Sosial,Lulus Perdana
1371462,RS Umum Naili DBS,SUMATERA BARAT,C,SWASTA/ LAINNYA,Tingkat Dasar
3214040,RS Umum Karina Medika,JAWA BARAT,D,Perusahaan,Lulus Perdana
1471397,RS Umum  Prima Pekanbaru,R I A U,C,Perusahaan,Tingkat Paripurna
1276078,RS Umum AL Fuadi,SUMATERA UTARA,C,Organisasi Sosial,Tingkat Madya
3327047,RS Umum Muhammadiyah Mardhatillah,JAWA TENGAH,D,Organisasi Islam ,Lulus Perdana
7471007,RS Umum Aliyah II,SULAWESI TENGGARA,D,Perusahaan,Lulus Perdana
3671216,RS Rumah Indonesia Sehat,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
3603186,RS Ibu dan Anak Assyifa ,BANTEN,C,SWASTA/ LAINNYA,Lulus Perdana
3671214,RS Tiara ,BANTEN,D,SWASTA/ LAINNYA,Lulus Perdana
3512038,RS Umum Mitra Sehat Kabupaten Situbondo,JAWA TIMUR,D,SWASTA/ LAINNYA,Tingkat Paripurna
1401012,RS Ibu dan Anak Milano,R I A U,C,SWASTA/ LAINNYA,Lulus Perdana
6471082,RS Khusus Mata SMEC Balikpapan,KALIMANTAN TIMUR,C,Perusahaan,Lulus Perdana
3216436,RS Umum Omni Cikarang,JAWA BARAT,B,Perusahaan,Tingkat Paripurna
3311228,RS Umum Universitas Sebelas Maret,JAWA TENGAH,C,Kementerian Lain,Tingkat Paripurna
3510107,RS Ibu dan Anak Abdhi Famili,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
1509028,RS Umum Permata Hati,JAMBI,C,Perusahaan,Lulus Perdana
3173705,RS Umum Daerah Tanah Abang,DKI JAKARTA,D,Pemprop,Tingkat Utama
3175416,RS Umum Daerah  Tanjung Priok,DKI JAKARTA,D,Pemprop,Lulus Perdana
3522062,RS Muslimat NU Muna Anggita Bojonegoro,JAWA TIMUR,D,Organisasi Islam ,Tingkat Dasar
3174523,RS Umum Daerah Matraman,DKI JAKARTA,D,Pemprop,Lulus Perdana
3515142,RS Umum Aminah,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
1110104,RS Umum Jeumpa Hospital,ACEH,C,SWASTA/ LAINNYA,Lulus Perdana
5171219,RS Khusus Ibu dan Anak Pucuk Permata Hati,BALI,C,SWASTA/ LAINNYA,Lulus Perdana
2071054,RS Ibu dan  Anak Griya Medika Batam,KEPULAUAN RIAU,C,Perusahaan,Tingkat Madya
3471377,UPT Rumah Sakit Pratama Kota Yogyakarta,D I YOGYAKARTA,D,Pemkot,Lulus Perdana
6301015,RS Borneo Citra Medika,KALIMANTAN SELATAN,C,SWASTA/ LAINNYA,Tingkat Paripurna
3172767,RS Khusus Mata SMEC Jakarta,DKI JAKARTA,C,Perusahaan,Lulus Perdana
3278021,RS Ibu dan Anak Bunda Aisyah,JAWA BARAT,C,SWASTA/ LAINNYA,Tingkat Utama
1213058,RS Umum Wampu Norita,SUMATERA UTARA,D,Perusahaan,Lulus Perdana
1276077,RS Umum Sylvani,SUMATERA UTARA,C,Perusahaan,Tingkat Dasar
3603185,RS Umum Hermina Bitung,BANTEN,C,SWASTA/ LAINNYA,Tingkat Paripurna
1207066,RS Umum Elpi Al Azis,SUMATERA UTARA,C,Perusahaan,Lulus Perdana
3306110,RS Umum Budi Sehat Purworejo,JAWA TENGAH,D,SWASTA/ LAINNYA,Tingkat Madya
3171798,RS Umum Ali Sibroh Malisi,DKI JAKARTA,D,Perorangan,Tingkat Dasar
3172766,RS Umum Olahraga Nasional,DKI JAKARTA,C,Kementerian Lain,Lulus Perdana
3525098,RS Umum Islam Cahaya Giri Gresik,JAWA TIMUR,D,SWASTA/ LAINNYA,Lulus Perdana
2071057,RS Ibu dan Anak Frisdhy Angel,KEPULAUAN RIAU,C,Perusahaan,Lulus Perdana
3578791,RS Ibu dan Anak Graha Medika,JAWA TIMUR,C,Perusahaan,Lulus Perdana
1104012,RS Umum Nurul Hasanah,ACEH,C,SWASTA/ LAINNYA,Tingkat Utama
3322073,RS Umum Kusuma Ungaran ,JAWA TENGAH,D,Perusahaan,Lulus Perdana
1312025,RS Ibu dan Anak AL-Ihsan,SUMATERA BARAT,C,Perorangan,Lulus Perdana
7472002,RS Siloam Hospital Buton,SULAWESI TENGGARA,C,Perusahaan,Tingkat Paripurna
6306024,RS Umum Daerah Daha Sejahtera,KALIMANTAN SELATAN,D,Pemkab,Lulus Perdana
1275913,RS Umum Universitas Sumatera Utara,SUMATERA UTARA,C,Kementerian Lain,Tingkat Paripurna
3506064,RS Ibu dan Anak Permata Hati Pare Kediri,JAWA TIMUR,C,SWASTA/ LAINNYA,Lulus Perdana
7308058,RS Hapsah,SULAWESI SELATAN,C,SWASTA/ LAINNYA,Tingkat Dasar
7571023,RS Multazam,GORONTALO,D,SWASTA/ LAINNYA,Lulus Perdana
1471395,RS Ibu Anak  Budhi Mulia,R I A U,C,Perusahaan,Lulus Perdana
