d.kode_rs,d.nama_rs,d.nama_prop,d.jenis_rs,d.kelas,d.pemilik,(d.total_tt)
9217013,RS Umum Daerah Oksibil,PAPUA,RSU,D,Pemkab,40
9211010,RS Umum Daerah Mulia,PAPUA,RSU,D,Pemkab,65
9214012,RS Umum Daerah Kabupaten Mappi,PAPUA,RSU,D,Pemkab,48
9220043,RS Umum Daerah Kwaingga Kabupaten Keerom,PAPUA,RSU,D,Pemkab,75
9205030,RS Angkatan Laut dr. R Gandhi AT,PAPUA,RSU,D,TNI AL,41
9202023,RS Umum Daerah Paniai,PAPUA,RSU,D,Pemkab,92
9101021,RS PT. Freeport Indonesia,PAPUA,RSU,D,SWASTA/ LAINNYA,0
9105005,RS Bhayangkara Lodewijk Mandatjan,PAPUA BARAT,RSU,D,POLRI,33
9105004,RS Pratama Warmare,PAPUA BARAT,RSU,D,Pemkab,50
9107003,RS Maleo,PAPUA BARAT,RSU,D,SWASTA/ LAINNYA,38
9107002,RS Kasih Herlina,PAPUA BARAT,RSU,D,Perorangan,43
9171047,RS Angkatan Laut dr. R. Oetojo,PAPUA BARAT,RSU,D,TNI AL,64
9103035,RS Umum Daerah Kabupaten Teluk Wondama,PAPUA BARAT,RSU,D,Pemkab,64
9171046,RS Mutiara,PAPUA BARAT,RSU,D,Perorangan,51
9108002,RS Umum Daerah Raja Ampat,PAPUA BARAT,RSU,D,Pemkab,62
9102034,RS Umum Daerah Kaimana,PAPUA BARAT,RSU,D,Pemkab,50
9171021,RS Pertamina Sorong,PAPUA BARAT,RSU,D,BUMN,15
9102033,RS AL dr. Azhar Zahir Manokwari,PAPUA BARAT,RSU,D,TNI AL,77
8272003,RS Umum Sofifi,MALUKU UTARA,RSU,D,Pemprop,50
8271057,RS Prima Ternate,MALUKU UTARA,RSU,D,Organisasi Sosial,56
8205033,RS Bethesda GMIH Tobelo,MALUKU UTARA,RSU,D,Organisasi Protestan,42
8271053,RS Medika Harifalm Ternate,MALUKU UTARA,RSU,D,Organisasi Sosial,33
8271042,RS Islam PKU Muhammadiyah Maluku Utara,MALUKU UTARA,RSU,D,Organisasi Sosial,40
8205032, RS Umum Daerah Kab. Pulau Morotai,MALUKU UTARA,RSU,D,Pemkab,46
8205021,RS Umum Daerah Weda,MALUKU UTARA,RSU,D,Pemkab,49
8271031,RS Umum Dharma Ibu Ternate,MALUKU UTARA,RSU,D,Organisasi Sosial,59
8271020,RS Tk.IV 16.07.01 TNI AD Ternate,MALUKU UTARA,RSU,D,TNI AD,39
8206012,RS Umum Daerah Maba,MALUKU UTARA,RSU,D,Pemkab,46
8203020, RS Umum Daerah Sanana,MALUKU UTARA,RSU,D,Pemkab,55
8271058,RS Bhayangkara Tk. IV Ternate,MALUKU UTARA,RSU,D,POLRI,22
8101064,RS Umum Daerah dr. D. Anatototi,MALUKU,RSU,D,Pemkab,0
8172002,RS Umum Daerah Maren Kota Tual,MALUKU,RSU,D,Pemkot,55
8108002,RS Umum Daerah Tiakur,MALUKU,RSU,D,Pemkab,30
8103002,RS Umum Daerah Banda,MALUKU,RSU,D,Pemkab,43
8171121,RS Bhayangkara Ambon,MALUKU,RSU,D,POLRI,93
8109018,RS Umum Daerah Namrole,MALUKU,RSU,D,Pemkab,60
8101063,RS Umum Daerah Dr. P. P. Magretti Saumlaki,MALUKU,RSU,D,Pemkab,61
8171096,RS Umum Bakti Rahayu,MALUKU,RSU,D,Organisasi Sosial,44
8171074,RS Hative,MALUKU,RSU,D,Organisasi Sosial,54
8171030,RS AL Ambon,MALUKU,RSU,D,TNI AL,50
8105019,RS Umum Daerah Cendrawasih Dobo,MALUKU,RSU,D,Pemkab,74
8103020,RSUD Kab. Buru,MALUKU,RSU,D,Pemkab,53
8103016,RS Umum Saparua,MALUKU,RSU,D,Pemkab,65
8101052,RS Bergerak Kab. Maluku Tenggara Barat,MALUKU,RSU,D,Pemkab,0
8101041,RS Fatima Saumlaki,MALUKU,RSU,D,Organisasi Katholik,0
8101030,RS St. Yusuph Elat,MALUKU,RSU,D,Organisasi Protestan,0
8101026,RS Hati Kudus Langgur,MALUKU,RSU,D,Organisasi Katholik,90
7602048,RS Umum Daerah Wonomulyo,SULAWESI BARAT,RSU,D,Pemkab,24
7602046,RS Bhakti Kasih,SULAWESI BARAT,RSU,D,Perusahaan,0
7604026,RS Umum Daerah Kabupaten Mamuju Tengah,SULAWESI BARAT,RSU,D,Pemkab,56
7603024,RS Umum Daerah Kondosapata Kab. Mamasa,SULAWESI BARAT,RSU,D,Pemkab,84
7605013,RS Umum Daerah Mamuju Utara,SULAWESI BARAT,RSU,D,Pemkab,54
7502035,RS Umum Daerah Boliyohuto,GORONTALO,RSU,D,Pemkab,49
7501044,RS Umum Daerah DR. Ir. Iwan Bokings Kab. Boalemo,GORONTALO,RSU,D,Pemkab,50
7571023,RS Multazam,GORONTALO,RSU,D,SWASTA/ LAINNYA,114
7571024,RS Umum Bioklinik,GORONTALO,RSU,D,Perusahaan,0
7571021,RS Bunda,GORONTALO,RSU,D,Perusahaan,127
7504012,RS Umum Daerah Tombulilato,GORONTALO,RSU,D,Pemkab,70
7502021,RS Islam,GORONTALO,RSU,D,Organisasi Sosial,56
7502032,RS Umum Daerah Otanaha ,GORONTALO,RSU,D,Pemkot,91
7471009,RS Umum Tiara Sentosa,SULAWESI TENGGARA,RSU,D,Perusahaan,0
7471008,RS Umum Aliyah III,SULAWESI TENGGARA,RSU,D,SWASTA/ LAINNYA,49
7403126,RS Umum Setia Bunda,SULAWESI TENGGARA,RSU,D,SWASTA/ LAINNYA,21
7414002,RS Umum Daerah Kabupaten Buton Tengah,SULAWESI TENGGARA,RSU,D,Pemkab,42
7472003,RS Umum Murhum,SULAWESI TENGGARA,RSU,D,SWASTA/ LAINNYA,0
7471007,RS Umum Aliyah II,SULAWESI TENGGARA,RSU,D,Perusahaan,50
7402011,RS Umum Daerah Kabupaten Muna Barat,SULAWESI TENGGARA,RSU,D,Pemkab,16
7401039,RS Umum Daerah Kabupaten Buton Selatan,SULAWESI TENGGARA,RSU,D,Pemkab,26
7412002,RS Umum Daerah Kabupaten Konawe Kepulauan,SULAWESI TENGGARA,RSU,D,Pemkab,25
7411908,RS Umum Daerah Kabupaten Kolaka Timur,SULAWESI TENGGARA,RSU,D,Pemkab,24
7471005,RS Aliyah,SULAWESI TENGGARA,RSU,D,SWASTA/ LAINNYA,56
7471004,RS Umum Dewi Sartika,SULAWESI TENGGARA,RSU,D,SWASTA/ LAINNYA,49
7471002,RS Hati Mulia,SULAWESI TENGGARA,RSU,D,Perorangan,29
7401024,RS Umum Daerah Kabupaten Buton Utara,SULAWESI TENGGARA,RSU,D,Pemkab,25
7407012,RS Umum Daerah Kabupaten Wakatobi,SULAWESI TENGGARA,RSU,D,Pemkab,74
7408013, RS Umum Daerah Kab.Konawe Utara,SULAWESI TENGGARA,RSU,D,Pemkab,51
7471081, RS Griya Husada Bakti,SULAWESI TENGGARA,RSU,D,Organisasi Sosial,0
7313024,RS Prima Husada Sengkang,SULAWESI SELATAN,RSU,D,Perusahaan,0
7303012,RSUD Banyorang,SULAWESI SELATAN,RSU,D,Pemkab,0
7322004,RS Hikmah Sejahtera Sukamaju,SULAWESI SELATAN,RSU,D,SWASTA/ LAINNYA,42
7326003,RS Santa Teresa Marampa Rantepao,SULAWESI SELATAN,RSU,D,Organisasi Katholik,38
7315018,RSUD Madising,SULAWESI SELATAN,RSU,D,Pemkab,50
7318056,RS Sinar Kasih,SULAWESI SELATAN,RSU,D,Perorangan,80
7305013,RS Maryam Citra Medika,SULAWESI SELATAN,RSU,D,SWASTA/ LAINNYA,50
7371425,RSU Cahaya Medika Makassar,SULAWESI SELATAN,RSU,D,SWASTA/ LAINNYA,43
7326002,RS Umum Daerah Pongtiku,SULAWESI SELATAN,RSU,D,Pemkab,43
7373005,RS Mujaisyah,SULAWESI SELATAN,RSU,D,SWASTA/ LAINNYA,48
7315016,RS Umum Aisyiyah St. Khadijah,SULAWESI SELATAN,RSU,D,Organisasi Sosial,49
7314025,RS Umum Anugrah Pangkajene,SULAWESI SELATAN,RSU,D,SWASTA/ LAINNYA,48
7306057,RS Umum Thalia Irham,SULAWESI SELATAN,RSU,D,Perorangan,40
7373031,RS Bantuan 07.08.05 Palopo,SULAWESI SELATAN,RSU,D,TNI AD,30
7313023,RS Umum Daerah Siwa,SULAWESI SELATAN,RSU,D,Pemkab,72
7371351, RS Umum Luramay,SULAWESI SELATAN,RSU,D,Organisasi Sosial,55
7202017,RS Claire Medika,SULAWESI TENGAH,RSU,D,Perusahaan,14
7205024,RS Umum Pratama Tambu,SULAWESI TENGAH,RSU,D,Pemkab,35
7208115,RS Umum Daerah Buluye Napoae Moutong,SULAWESI TENGAH,RSU,D,Pemkab,50
7202016,RS Pratama dr. Abdul Chalik Masulili,SULAWESI TENGAH,RSU,D,Pemkab,25
7209002,RS Umum Daerah Wakai,SULAWESI TENGAH,RSU,D,Pemkab,61
7204044,RS TK 4 DR.YANTO.SP.OT,SULAWESI TENGAH,RSU,D,TNI AD,53
7204043,RS GKST Tentena,SULAWESI TENGAH,RSU,D,Organisasi Sosial,44
7173002,RS Umum Daerah Anugerah,SULAWESI UTARA,RSU,D,Pemkot,73
7109002,RS Umum Daerah Mitra Sehat,SULAWESI UTARA,RSU,D,Pemkab,20
7171102,RS Umum Manado Medical Center,SULAWESI UTARA,RSU,D,SWASTA/ LAINNYA,98
7101037,RS Kinapit,SULAWESI UTARA,RSU,D,Perusahaan,92
7107003,RS Umum Daerah Bolaang Mongondow Utara ,SULAWESI UTARA,RSU,D,Pemkab,71
7105030,RS Umum Daerah Amurang,SULAWESI UTARA,RSU,D,Pemkab,64
7110002,RS Umum Daerah Bolaang Mongondow Selatan,SULAWESI UTARA,RSU,D,Pemkab,46
7171097,RS TNI AU Lanud Sam Ratulangi,SULAWESI UTARA,RSU,D,TNI AU,34
7172025,Rumkital dr. Wahyu Slamet Bitung,SULAWESI UTARA,RSU,D,TNI AL,60
7104027, RS Bergerak Kab.Kep.Talaud,SULAWESI UTARA,RSU,D,Pemkab,30
7103026, RS Bergerak Kab.Kep.Sitaro,SULAWESI UTARA,RSU,D,Pemkab,62
7102095, RS  Tonsea,SULAWESI UTARA,RSU,D,Organisasi Protestan,23
7105084, RS Cantia Tompasobaru,SULAWESI UTARA,RSU,D,Organisasi Katholik,47
7102073, RS  Budi Setia,SULAWESI UTARA,RSU,D,Organisasi Sosial,93
7102040,RS Siloam GMIM Sonder,SULAWESI UTARA,RSU,D,Organisasi Protestan,42
6473043,RS Umum Pertamedika Tarakan,KALIMANTAN UTARA,RSU,D,Perusahaan,36
6473042,RS AL Ilyas Tarakan,KALIMANTAN UTARA,RSU,D,TNI AL,39
6404053,RS Sandaran Bengalon,KALIMANTAN TIMUR,RSU,D,SWASTA/ LAINNYA,0
6401016,RS Umum Muhammadiyah Paser,KALIMANTAN TIMUR,RSU,D,Organisasi Islam ,51
6404051,RS Umum Daerah Sangkulirang,KALIMANTAN TIMUR,RSU,D,Pemkab,48
6472128,RS Umum Daerah KORPRI Provinsi Kalimantan Timur,KALIMANTAN TIMUR,RSU,D,Pemprop,14
9271079,RS Provita Jayapura,PAPUA,RSU,C,Perorangan,84
9203016,RS TNI Angkatan Darat Marthen Indey Jayapura,PAPUA,RSU,C,TNI AD,129
9203015,RS TNI Angkatan Laut dr. Soedibjo Sardadi,PAPUA,RSU,C,TNI AL,81
9271078,RS Umum Daerah Yowari Sentani,PAPUA,RSU,C,Pemkab,96
9271067,RS Bhayangkara Jayapura,PAPUA,RSU,C,POLRI,110
9271056,RS Dian Harapan,PAPUA,RSU,C,Organisasi Sosial,140
9271023,RS Umum Abepura,PAPUA,RSU,C,Pemprop,198
9212011,RS Umum Daerah Kabupaten Mimika,PAPUA,RSU,C,Pemkab,155
9205015,RS Umum Biak,PAPUA,RSU,C,Pemkab,192
9204014,RS Umum Daerah Serui,PAPUA,RSU,C,Pemkab,120
9202013,RS Umum Wamena,PAPUA,RSU,C,Pemkab,166
9202012,RS Umum Nabire,PAPUA,RSU,C,Pemkab,106
9201012,RS Umum Merauke,PAPUA,RSU,C,Pemkab,227
9201011,RS Mitra Masyarakat Timika,PAPUA,RSU,C,Organisasi Sosial,116
9104002,RS Umum Daerah Teluk Bintuni,PAPUA BARAT,RSU,C,Pemkab,22
9106013,RS Umum Daerah Scholoo Keyen,PAPUA BARAT,RSU,C,Pemkab,62
9171032,RS Umum Daerah Sele Be Solu,PAPUA BARAT,RSU,C,Pemkot,152
9171010,RS Umum Daerah Kabupaten Sorong,PAPUA BARAT,RSU,C,Pemkab,164
9102011,RS Umum Daerah Manokwari,PAPUA BARAT,RSU,C,Pemkab,161
9101010,RS Umum Daerah Fakfak,PAPUA BARAT,RSU,C,Pemkab,105
8272004,RS Jiwa Sofifi,MALUKU UTARA,RSK Jiwa,C,Pemprop,25
8204010, RS Umum Daerah  Labuha,MALUKU UTARA,RSU,C,Pemkab,116
8202043,RS Umum Daerah Kota Tidore Kepulauan,MALUKU UTARA,RSU,C,Pemkot,145
8201021, RS Umum Daerah Jailolo,MALUKU UTARA,RSU,C,Pemkab,97
8201010, RS Umum Daerah Tobelo,MALUKU UTARA,RSU,C,Pemkab,111
8106010,RS Umum Piru,MALUKU,RSU,C,Pemkab,60
8171110,RS Al Fatah,MALUKU,RSU,C,Organisasi Islam ,71
8171085,RS Sumber Hidup GPM,MALUKU,RSU,C,Organisasi Protestan,53
8107021,RS Umum Daerah Bula,MALUKU,RSU,C,Pemkab,132
8103053,RS Umum Daerah dr. Ishak Umarella,MALUKU,RSU,C,Pemprop,108
8103042,RS Umum Masohi,MALUKU,RSU,C,Pemkab,101
8101015,RS Umum Karel Sadsuitubun,MALUKU,RSU,C,Pemkab,179
7604027,RS Bhayangkara Tkt. IV Polda Sulbar,SULAWESI BARAT,RSU,C,POLRI,47
7604024,RS Umum Mitra Mankarra,SULAWESI BARAT,RSU,C,SWASTA/ LAINNYA,99
7604023,RS Umum Daerah Provinsi Sulawesi Barat,SULAWESI BARAT,RSU,C,Pemprop,117
7604012,RS Umum Daerah Kabupaten Mamuju,SULAWESI BARAT,RSU,C,Pemkab,126
7602044,RS Umum Daerah Polewali,SULAWESI BARAT,RSU,C,Pemkab,243
7601011,RS Umum Daerah Kabupaten Majene,SULAWESI BARAT,RSU,C,Pemkab,129
7502034,RS Umum Daerah dr. Hasri Ainun Habibie,GORONTALO,RSU,C,Pemprop,117
7505002,RS Umum Daerah dr. Zainal Umar Sidiki,GORONTALO,RSU,C,Pemkab,89
7571022,RS Ibu dan Anak Siti Khadidjah,GORONTALO,RSIA,C,Organisasi Islam ,60
7503045,RS Umum Daerah Bumi Panua,GORONTALO,RSU,C,Pemkab,97
7501043,RS Umum Daerah Tani dan Nelayan,GORONTALO,RSU,C,Pemkab,125
7504032,RS Umum Daerah Toto Kabila,GORONTALO,RSU,C,Pemkab,185
7471010,RS Hermina Kendari,SULAWESI TENGGARA,RSU,C,SWASTA/ LAINNYA,0
7472002,RS Siloam Hospital Buton,SULAWESI TENGGARA,RSU,C,Perusahaan,71
7406036,RS Umum Daerah Kabupaten Bombana,SULAWESI TENGGARA,RSU,C,Pemkab,62
7404034, RS Umum Daerah H.M.Djafar Harun,SULAWESI TENGGARA,RSU,C,Pemkab,88
7404012,RS Benyamin Guluh Kolaka,SULAWESI TENGGARA,RSU,C,Pemkab,149
7403114,RS Umum Daerah Konawe Selatan,SULAWESI TENGGARA,RSU,C,Pemkab,81
7471103, RS Ibu dan Anak Permata Bunda,SULAWESI TENGGARA,RSU,C,SWASTA/ LAINNYA,24
7471092, RS Umum Daerah Kota Kendari,SULAWESI TENGGARA,RSU,C,Pemkot,142
7471070,RS Bhayangkara Kendari,SULAWESI TENGGARA,RSU,C,POLRI,53
7471044, RS Santa Anna,SULAWESI TENGGARA,RSU,C,Organisasi Sosial,59
7403033,RS Tk.IV Dr. R Ismoyo Kendari,SULAWESI TENGGARA,RSU,C,TNI AD,63
7403022,RS Umum Daerah Konawe,SULAWESI TENGGARA,RSU,C,Pemkab,121
7402010,RS Umum Daerah Raha,SULAWESI TENGGARA,RSU,C,Pemkab,118
7401038,RS Umum Daerah Kabupaten Buton,SULAWESI TENGGARA,RSU,C,Pemkab,86
7472016,RS Umum Daerah Kota Bau Bau,SULAWESI TENGGARA,RSU,C,Pemkot,112
7371434,RS Umum Sandi Karsa Makassar,SULAWESI SELATAN,RSU,C,Perorangan,0
7306059,RS Umum Yapika,SULAWESI SELATAN,RSU,C,Perorangan,105
7371433,RS Khusus Daerah Gigi dan Mulut Provinsi Sulawesi ,SULAWESI SELATAN,RSK GM,C,Pemprop,7
7371432,RS Ibu Dan Anak Sayang Bunda,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,13
7373008,RS Dokter Palemmai Tandi,SULAWESI SELATAN,RSU,C,Pemkot,62
7302017,RS Ibu dan Anak Yasira,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,17
7371430,RS Ibu dan Anak Amanat,SULAWESI SELATAN,RSIA,C,Perusahaan,37
7371429,RS Ibu dan Anak Kartini ,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,22
7371427,RS Gigi dan Mulut Ladokgi TNI AL Yos Sudarso,SULAWESI SELATAN,RSK GM,C,TNI AL,2
7373007,RS Mega Buana Palopo,SULAWESI SELATAN,RSU,C,Perusahaan,77
7317076,RS Hikmah Sejahtera Belopa ,SULAWESI SELATAN,RSU,C,Perusahaan,130
7371426,RS Hermina Makassar,SULAWESI SELATAN,RSU,C,SWASTA/ LAINNYA,48
7308059,RS Umum Daerah Datu Pancaitana,SULAWESI SELATAN,RSU,C,Pemkab,47
7308058,RS Hapsah,SULAWESI SELATAN,RSU,C,SWASTA/ LAINNYA,82
7371414,RS Ibu dan Anak Prof. dr. H. M. Farid,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,25
7371415,RS Ibu dan Anak Fajar Medika Nusantara Makassar,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,27
7372077,RS Ibu dan Anak Ananda Trifa,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,20
7371420,RS Ibu dan Anak Mutiara Aroepala ,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,0
7371418,RS Ibu dan Anak Malebu Husada,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,28
7371413,RS Ibu dan Anak Permata Hati,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,36
7373004,RS Umum St. Madyang,SULAWESI SELATAN,RSU,C,SWASTA/ LAINNYA,118
7322003,RS Umum Hikmah Masamba,SULAWESI SELATAN,RSU,C,SWASTA/ LAINNYA,83
7371410,RS Ibu dan Anak Ananda,SULAWESI SELATAN,RSIA,C,Perorangan,69
7373003,RS Umum Bintang Laut Palopo,SULAWESI SELATAN,RSU,C,Perusahaan,70
7371407,RS Umum Bahagia,SULAWESI SELATAN,RSU,C,Perorangan,56
7371406,RS Ibu dan Anak Budi Mulia,SULAWESI SELATAN,RSIA,C,Perorangan,15
7371403,RS Mitra Husada,SULAWESI SELATAN,RSU,C,SWASTA/ LAINNYA,50
7371401,RS Ibu dan Anak Bunda,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,18
7371400,RS Ibu dan Anak Sitti Khadijah III Muhammadiyah Ma,SULAWESI SELATAN,RSIA,C,Organisasi Sosial,35
7309044,RS AU dr. Dody Sardjoto,SULAWESI SELATAN,RSU,C,TNI AU,48
7371336,RS Hikmah,SULAWESI SELATAN,RSU,C,Organisasi Sosial,59
7371397,RS Ibu dan Anak Gia Lestari,SULAWESI SELATAN,RSIA,C,SWASTA/ LAINNYA,0
7371014,RS Umum Daerah Sayang Rakyat,SULAWESI SELATAN,RSU,C,Pemprop,87
7371107,Rumah Sakit Ibu Dan Anak Masyita,SULAWESI SELATAN,RSIA,C,Organisasi Sosial,31
7318010, RS Umum Elim Rantepao,SULAWESI SELATAN,RSU,C,Organisasi Sosial,209
7317075, RS Umum Daerah Batara Guru,SULAWESI SELATAN,RSU,C,Pemkab,130
7372031,RS Tk IV 07.07.03 Dr. Sumantri,SULAWESI SELATAN,RSU,C,TNI AD,127
7372020, RS Fatima Pare-Pare,SULAWESI SELATAN,RSU,C,Organisasi Sosial,150
7371191, RS Ibu dan Anak Sitti Khadijah 1 Muhammadiyah,SULAWESI SELATAN,RSIA,C,Organisasi Islam ,110
7371180, RS Ibu dan Anak Sentosa,SULAWESI SELATAN,RSIA,C,Organisasi Sosial,29
7371176, RS Bersalin Elim Makassar,SULAWESI SELATAN,RSIA,C,Organisasi Sosial,17
7371074,RS AL Jala Ammari Makassar,SULAWESI SELATAN,RSU,C,TNI AL,77
7325016, RS Umum Daerah I Lagaligo,SULAWESI SELATAN,RSU,C,Pemkab,184
7318054, RS Umum Daerah Lakipadada,SULAWESI SELATAN,RSU,C,Pemkab,175
7318021, RS Fatima Makale,SULAWESI SELATAN,RSU,C,Organisasi Sosial,93
7373064, RS At - Medika,SULAWESI SELATAN,RSU,C,Organisasi Sosial,144
7317053, RS Umum Daerah Andi Djemma Masamba,SULAWESI SELATAN,RSU,C,Pemkab,218
7317020, RS Umum Inco Sorowako,SULAWESI SELATAN,RSU,C,Perusahaan,14
7316015, RS Umum Daerah Massenrempulu Enrekang,SULAWESI SELATAN,RSU,C,Pemkab,127
7315014, RS Umum Daerah Lasinrang Pinrang,SULAWESI SELATAN,RSU,C,Pemkab,167
7314024,RS Umum Daerah Arifin Numang,SULAWESI SELATAN,RSU,C,Pemkab,122
7314013, RS Umum Daerah Nene Mallomo,SULAWESI SELATAN,RSU,C,Pemkab,144
7313012, RS Umum Daerah Lamaddukkelleng Kabupaten Wajo,SULAWESI SELATAN,RSU,C,Pemkab,172
7312011,RS Umum Daerah Latemmamala Soppeng,SULAWESI SELATAN,RSU,C,Pemkab,289
7311010, RS Umum Daerah Barru,SULAWESI SELATAN,RSU,C,Pemkab,166
7310016,RS Umum Batara Siang,SULAWESI SELATAN,RSU,C,Pemkab,216
